Red Manual
city: Ciudad de M&eacute;xico	
cityCode: MEX
country: M&eacute;xico		
mesurementAgency: SIMAT		
URL: http://www.aire.cdmx.gob.mx
timeStamp:,1989/01/08 al 2017/10/28		
average_interval: 001d
Date,cve_station,cve_parameter,value,unit
14/02/1990,MCM,PbPST,0.943,2
14/02/1990,FAN,PbPST,0.824,2
14/02/1990,TEC,PbPST,1.215,2
14/02/1990,CFE,PbPST,0.728,2
20/02/1990,CES,PbPST,1.143,2
20/02/1990,MER,PbPST,1.098,2
20/02/1990,PED,PbPST,0.712,2
20/02/1990,TLA,PbPST,0.337,2
20/02/1990,XAL,PbPST,2.912,2
20/02/1990,MCM,PbPST,0.869,2
20/02/1990,FAN,PbPST,0.737,2
20/02/1990,TEC,PbPST,0.927,2
20/02/1990,CFE,PbPST,0.455,2
26/02/1990,CES,PbPST,0.755,2
26/02/1990,MER,PbPST,0.678,2
26/02/1990,PED,PbPST,0.516,2
26/02/1990,TLA,PbPST,0.911,2
26/02/1990,XAL,PbPST,2.233,2
26/02/1990,MCM,PbPST,0.604,2
26/02/1990,FAN,PbPST,0.607,2
26/02/1990,TEC,PbPST,1.512,2
26/02/1990,CFE,PbPST,0.685,2
04/03/1990,CES,PbPST,0.78,2
04/03/1990,MER,PbPST,0.765,2
04/03/1990,PED,PbPST,0.498,2
04/03/1990,TLA,PbPST,0.678,2
04/03/1990,XAL,PbPST,2.479,2
04/03/1990,MCM,PbPST,0.581,2
04/03/1990,FAN,PbPST,0.653,2
04/03/1990,TEC,PbPST,0.668,2
04/03/1990,CFE,PbPST,0.462,2
10/03/1990,CES,PbPST,1.099,2
10/03/1990,MER,PbPST,1.027,2
10/03/1990,PED,PbPST,0.585,2
